Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-04,17.96,18.0,17.74,17.94,-1,-1,0,0
2023-04-05,17.98,18.0,17.72,17.72,-1,-1,0,0
2023-04-06,17.9,18.04,17.9,17.98,-1,-1,0,0
2023-04-11,17.98,18.1,17.96,18.1,-1,-1,0,0
2023-04-12,18.1,18.3,18.1,18.3,-1,-1,0,0
2023-04-13,18.1,18.48,18.02,18.46,-1,-1,0,0
2023-04-14,18.48,18.6,18.06,18.1,-1,-1,0,0
2023-04-17,18.1,18.6,18.1,18.52,-1,-1,0,0
2023-04-18,18.5,18.5,18.3,18.4,-1,-1,0,0
2023-04-19,18.4,18.58,18.3,18.5,-1,-1,0,0
2023-04-20,18.56,18.56,18.3,18.4,-1,-1,0,0
2023-04-21,18.3,18.5,18.0,18.48,-1,-1,0,0
2023-04-24,18.48,18.48,18.3,18.32,-1,-1,0,0
2023-04-25,18.18,18.48,17.9,18.22,-1,-1,0,0
2023-04-26,18.16,18.28,17.9,18.1,-1,-1,0,0
2023-04-27,18.08,18.3,18.0,18.04,-1,-1,0,0
2023-04-28,18.02,18.22,18.0,18.04,-1,-1,0,0
2023-05-02,18.4,18.4,18.04,18.22,-1,-1,0,0
2023-05-04,18.32,18.34,18.0,18.26,-1,-1,0,0
2023-05-05,18.26,18.26,18.0,18.14,-1,-1,0,0
2023-05-08,18.16,18.28,18.0,18.28,-1,-1,0,0
2023-05-09,18.28,18.36,18.22,18.32,-1,-1,0,0
2023-05-10,18.26,18.3,18.18,18.3,-1,-1,0,0
2023-05-11,18.3,18.3,16.86,17.88,-1,-1,0,0
2023-05-12,17.88,18.2,17.88,18.1,-1,-1,0,0
2023-05-15,18.14,18.32,17.88,18.2,-1,-1,0,0
2023-05-16,18.18,18.2,17.4,18.02,-1,-1,0,0
2023-05-17,18.04,18.2,17.72,18.0,-1,-1,0,0
2023-05-18,18.1,18.1,17.84,18.06,-1,-1,0,0
2023-05-19,18.08,18.3,17.88,18.28,-1,-1,0,0
2023-05-22,18.28,18.32,18.16,18.32,-1,-1,0,0
2023-05-23,18.3,18.4,18.2,18.36,-1,-1,0,0
2023-05-24,18.3,18.34,18.08,18.32,-1,-1,0,0
2023-05-25,18.32,18.34,18.16,18.32,-1,-1,0,0
2023-05-26,18.32,18.36,18.22,18.36,-1,-1,0,0
2023-05-29,18.36,18.48,18.3,18.46,-1,-1,0,0
2023-05-30,18.48,18.48,18.32,18.46,-1,-1,0,0
2023-05-31,18.46,18.46,18.1,18.16,-1,-1,0,0
2023-06-01,18.1,18.32,18.0,18.2,-1,-1,0,0
2023-06-02,18.2,18.38,18.16,18.24,-1,-1,0,0
2023-06-05,18.24,18.4,18.14,18.4,-1,-1,0,0
2023-06-06,18.4,18.4,18.2,18.36,-1,-1,0,0
2023-06-07,18.36,18.36,18.22,18.36,-1,-1,0,0
2023-06-09,18.36,18.36,18.22,18.32,-1,-1,0,0
2023-06-12,18.26,18.4,18.16,18.38,-1,-1,0,0
2023-06-13,18.36,18.38,18.3,18.36,-1,-1,0,0
2023-06-14,18.38,18.46,18.34,18.42,-1,-1,0,0
2023-06-15,18.4,18.42,17.9,18.34,-1,-1,0,0
2023-06-16,18.36,18.42,18.1,18.32,-1,-1,0,0
2023-06-19,18.3,18.42,18.16,18.42,-1,-1,0,0
2023-06-20,18.42,18.56,18.12,18.5,-1,-1,0,0
2023-06-21,18.5,19.0,18.5,18.98,-1,-1,0,0
2023-06-22,18.9,19.18,18.9,18.9,-1,-1,0,0
2023-06-23,18.9,19.0,18.9,18.98,-1,-1,0,0
2023-06-26,18.98,18.98,18.1,18.8,-1,-1,0,0
2023-06-27,18.76,18.84,18.62,18.64,-1,-1,0,0
2023-06-28,18.68,18.82,18.68,18.8,-1,-1,0,0
2023-06-29,18.76,18.8,18.6,18.62,-1,-1,0,0
2023-06-30,18.68,18.8,18.58,18.8,-1,-1,0,0
2023-07-03,18.5,18.8,18.24,18.42,-1,-1,0,0
2023-07-04,18.5,18.86,18.36,18.84,-1,-1,0,0
2023-07-05,18.8,19.1,18.0,18.78,-1,-1,0,0
2023-07-06,18.72,18.74,16.86,18.4,-1,-1,0,0
2023-07-07,18.4,18.5,18.0,18.26,-1,-1,0,0
2023-07-10,18.26,18.44,18.14,18.3,-1,-1,0,0
2023-07-11,18.36,18.7,18.24,18.54,-1,-1,0,0
2023-07-12,18.56,18.6,18.38,18.48,-1,-1,0,0
2023-07-13,18.5,18.7,18.42,18.52,-1,-1,0,0
2023-07-14,18.52,18.7,18.48,18.48,-1,-1,0,0
2023-07-17,18.36,18.62,18.36,18.54,-1,-1,0,0
2023-07-18,18.54,18.68,18.42,18.6,-1,-1,0,0
2023-07-19,18.68,18.7,18.48,18.56,-1,-1,0,0
2023-07-20,18.66,18.66,18.48,18.58,-1,-1,0,0
2023-07-21,18.58,18.58,18.16,18.4,-1,-1,0,0
2023-07-24,18.4,18.6,18.36,18.5,-1,-1,0,0
2023-07-25,18.5,18.5,18.32,18.4,-1,-1,0,0
2023-07-26,18.4,18.4,18.26,18.3,-1,-1,0,0
2023-07-27,18.32,18.34,18.22,18.22,-1,-1,0,0
2023-07-28,18.22,18.3,18.2,18.3,-1,-1,0,0
2023-07-31,18.24,18.3,18.14,18.14,-1,-1,0,0
2023-08-01,18.14,18.4,18.14,18.3,-1,-1,0,0
2023-08-02,18.28,18.38,18.14,18.32,-1,-1,0,0
2023-08-03,18.18,18.36,18.1,18.22,-1,-1,0,0
2023-08-04,18.24,18.26,17.82,17.82,-1,-1,0,0
2023-08-07,17.82,18.18,17.8,17.9,-1,-1,0,0
2023-08-08,17.82,18.18,17.76,18.0,-1,-1,0,0
2023-08-09,17.84,18.3,17.84,17.94,-1,-1,0,0
2023-08-10,17.94,18.26,17.94,18.14,-1,-1,0,0
2023-08-11,18.02,18.3,17.96,18.2,-1,-1,0,0
2023-08-14,18.3,18.36,18.12,18.28,-1,-1,0,0
2023-08-16,18.32,18.32,18.1,18.1,-1,-1,0,0
2023-08-17,18.1,18.24,18.06,18.24,-1,-1,0,0
2023-08-18,18.24,18.3,18.16,18.18,-1,-1,0,0
2023-08-21,18.1,18.3,18.1,18.2,-1,-1,0,0
2023-08-22,18.24,18.36,18.16,18.2,-1,-1,0,0
2023-08-23,18.18,18.3,18.12,18.14,-1,-1,0,0
2023-08-24,18.28,18.28,18.14,18.24,-1,-1,0,0
2023-08-25,18.24,18.3,18.16,18.28,-1,-1,0,0
2023-08-28,18.3,18.36,18.1,18.26,-1,-1,0,0
2023-08-29,18.3,18.38,18.26,18.38,-1,-1,0,0
2023-08-30,18.4,18.5,18.36,18.42,-1,-1,0,0
2023-08-31,18.36,18.44,17.5,18.2,-1,-1,0,0
