Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-20,790,798,776,798,62,84,3,1
2023-02-21,790,796,780,795,62,84,3,1
2023-02-22,786,794,771,794,62,84,3,1
2023-02-23,790,794,782,794,62,84,3,1
2023-02-24,796,800,791,797,62,84,3,1
2023-02-27,799,819,788,810,62,84,3,1
2023-02-28,809,819,788,809,62,84,3,1
2023-03-01,811,812,801,810,62,84,3,1
2023-03-02,810,813,800,813,62,84,3,1
2023-03-03,814,816,800,808,62,84,3,1
2023-03-06,794,809,794,802,62,84,3,1
2023-03-07,802,818,802,810,62,84,3,1
2023-03-08,810,815,803,815,62,84,3,1
2023-03-09,817,844,810,835,62,84,3,1
2023-03-10,835,840,828,835,62,84,3,1
2023-03-13,835,844,782,804,62,84,3,1
2023-03-14,817,831,814,831,62,84,3,1
2023-03-15,828,843,814,830,62,84,3,1
2023-03-16,825,825,806,817,62,84,3,1
2023-03-17,820,825,806,825,62,84,3,1
2023-03-20,839,839,805,820,62,84,3,1
2023-03-21,828,860,810,854,62,84,3,1
2023-03-22,857,879,849,879,62,84,3,1
2023-03-23,870,878,853,869,62,84,3,1
2023-03-24,870,870,842,867,62,84,3,1
2023-03-27,848,869,837,845,62,84,3,1
2023-03-28,845,868,825,839,62,84,3,1
2023-03-29,830,835,821,824,62,84,3,1
2023-03-30,821,833,812,831,62,84,3,1
2023-03-31,826,839,824,826,62,84,3,1
2023-04-03,834,870,832,851,62,84,3,1
2023-04-04,852,870,848,869,62,84,3,1
2023-04-05,860,871,850,850,62,84,3,1
2023-04-06,849,858,842,850,62,84,3,1
2023-04-11,850,851,836,850,62,84,3,1
2023-04-12,843,848,831,840,62,84,3,1
2023-04-13,836,852,830,850,62,84,3,1
2023-04-14,852,885,842,884,62,84,3,1
2023-04-17,880,880,848,864,62,84,3,1
2023-04-18,868,880,862,879,62,84,3,1
2023-04-19,879,888,840,888,62,84,3,1
2023-04-20,900,930,888,898,62,84,3,1
2023-04-21,885,885,848,865,62,84,3,1
2023-04-24,864,864,849,851,62,84,3,1
2023-04-25,860,860,820,826,62,84,3,1
2023-04-26,828,846,807,818,62,84,3,1
2023-04-27,834,834,809,826,62,84,3,1
2023-04-28,836,848,821,833,62,84,3,1
2023-05-02,825,825,797,806,62,84,3,1
2023-05-04,801,801,758,782,62,84,3,1
2023-05-05,782,796,762,782,62,84,3,1
2023-05-08,781,797,762,796,62,84,3,1
2023-05-09,799,812,799,804,62,84,3,1
2023-05-10,808,808,791,791,62,84,3,1
2023-05-11,791,796,780,796,62,84,3,1
2023-05-12,806,821,765,793,62,84,3,1
2023-05-15,798,809,790,800,62,84,3,1
2023-05-16,790,807,788,807,62,84,3,1
2023-05-17,808,810,802,810,62,84,3,1
2023-05-18,803,809,781,801,62,84,3,1
2023-05-19,805,810,790,810,62,84,3,1
2023-05-22,809,809,800,808,62,84,3,1
2023-05-23,808,808,784,800,62,84,3,1
2023-05-24,797,800,794,799,62,84,3,1
2023-05-25,800,822,796,821,62,84,3,1
2023-05-26,820,839,805,839,62,84,3,1
2023-05-29,838,838,812,834,62,84,3,1
2023-05-30,820,824,785,817,62,84,3,1
2023-05-31,800,818,790,813,62,84,3,1
2023-06-01,800,813,800,813,62,84,3,1
2023-06-02,804,824,784,820,62,84,3,1
2023-06-05,819,828,806,828,62,84,3,1
2023-06-06,828,840,821,840,62,84,3,1
2023-06-07,843,848,825,835,62,84,3,1
2023-06-09,824,858,824,858,62,84,3,1
2023-06-12,850,860,837,851,62,84,3,1
