Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-07,155.5,160.0,152.0,155.0,-1,-1,0,0
2023-06-09,153.0,158.0,152.0,158.0,-1,-1,0,0
2023-06-12,152.0,158.0,152.0,158.0,-1,-1,0,0
2023-06-13,155.0,158.0,153.0,158.0,-1,-1,0,0
2023-06-14,157.0,160.0,155.0,160.0,-1,-1,0,0
2023-06-15,160.0,160.0,160.0,160.0,-1,-1,0,0
2023-06-16,155.5,157.5,153.0,154.5,-1,-1,0,0
2023-06-19,153.0,153.0,153.0,153.0,-1,-1,0,0
2023-06-20,153.0,155.0,148.0,151.5,-1,-1,0,0
2023-06-21,146.5,160.0,146.5,159.0,-1,-1,0,0
2023-06-22,158.0,160.0,153.5,158.5,-1,-1,0,0
2023-06-23,159.0,159.0,153.5,159.0,-1,-1,0,0
2023-06-26,155.0,155.0,155.0,155.0,-1,-1,0,0
2023-06-27,151.0,154.0,145.5,147.5,-1,-1,0,0
2023-06-28,150.0,150.0,148.0,148.0,-1,-1,0,0
2023-06-29,149.0,155.5,149.0,149.0,-1,-1,0,0
2023-06-30,149.0,153.0,149.0,152.0,-1,-1,0,0
2023-07-03,151.0,151.0,145.5,149.0,-1,-1,0,0
2023-07-04,148.0,148.0,145.0,146.5,-1,-1,0,0
2023-07-05,145.5,146.0,145.0,145.0,-1,-1,0,0
2023-07-06,145.0,145.0,142.5,145.0,-1,-1,0,0
2023-07-07,145.0,145.0,143.0,143.0,-1,-1,0,0
2023-07-10,142.5,142.5,140.0,141.0,-1,-1,0,0
2023-07-11,141.0,147.0,140.0,147.0,-1,-1,0,0
2023-07-12,140.5,147.0,140.5,147.0,-1,-1,0,0
2023-07-13,146.0,146.5,140.5,146.0,-1,-1,0,0
2023-07-14,146.0,146.0,145.0,146.0,-1,-1,0,0
2023-07-17,146.0,146.0,140.5,145.5,-1,-1,0,0
2023-07-18,146.0,147.0,143.0,145.5,-1,-1,0,0
2023-07-19,141.0,145.5,141.0,145.5,-1,-1,0,0
2023-07-20,145.0,145.0,138.5,144.0,-1,-1,0,0
2023-07-21,139.0,143.0,139.0,143.0,-1,-1,0,0
2023-07-24,141.5,143.0,139.5,139.5,-1,-1,0,0
2023-07-25,139.5,139.5,131.5,135.0,-1,-1,0,0
2023-07-26,137.0,140.0,135.0,139.0,-1,-1,0,0
2023-07-27,139.0,139.0,134.5,139.0,-1,-1,0,0
2023-07-28,136.0,143.0,136.0,140.0,-1,-1,0,0
2023-07-31,141.0,141.0,136.0,141.0,-1,-1,0,0
2023-08-01,140.0,140.0,134.0,139.5,-1,-1,0,0
2023-08-02,135.5,139.0,135.5,139.0,-1,-1,0,0
2023-08-03,138.5,138.5,134.0,138.0,-1,-1,0,0
2023-08-04,137.0,137.0,133.0,136.0,-1,-1,0,0
2023-08-07,133.0,135.5,130.5,134.0,-1,-1,0,0
2023-08-08,131.0,133.5,128.5,132.5,-1,-1,0,0
2023-08-09,130.0,132.0,128.5,131.5,-1,-1,0,0
2023-08-10,131.5,131.5,126.0,130.5,-1,-1,0,0
2023-08-11,128.0,130.0,119.0,129.0,-1,-1,0,0
2023-08-14,129.0,129.5,129.0,129.5,-1,-1,0,0
