Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-31,10556.97,10582.67,10455.82,10505.27,-1,-1,0,0
2023-08-01,10530.3,10546.9,10445.07,10493.22,-1,-1,0,0
2023-08-02,10522.88,10522.88,10309.07,10309.07,-1,-1,0,0
2023-08-03,10318.52,10374.89,10271.27,10305.72,-1,-1,0,0
2023-08-04,10399.03,10401.24,10282.75,10310.89,-1,-1,0,0
2023-08-07,10307.0,10326.87,10171.01,10191.05,-1,-1,0,0
2023-08-08,10178.35,10192.73,9950.84,9954.28,-1,-1,0,0
2023-08-09,10009.25,10105.1,9975.04,10044.64,-1,-1,0,0
2023-08-10,10116.67,10240.94,10092.33,10166.28,-1,-1,0,0
2023-08-11,10149.57,10158.16,10033.62,10147.22,-1,-1,0,0
2023-08-14,10045.81,10069.85,9857.97,9865.49,-1,-1,0,0
2023-08-16,9861.11,9959.32,9811.02,9821.03,-1,-1,0,0
2023-08-17,9856.59,9919.44,9769.56,9817.16,-1,-1,0,0
2023-08-18,9772.67,9798.99,9611.14,9652.78,-1,-1,0,0
2023-08-21,9665.62,9787.24,9665.62,9724.77,-1,-1,0,0
2023-08-22,9775.14,9881.29,9719.92,9788.6,-1,-1,0,0
2023-08-23,9846.03,9846.03,9554.22,9648.27,-1,-1,0,0
2023-08-24,9675.34,9702.05,9546.19,9546.19,-1,-1,0,0
2023-08-25,9571.86,9616.25,9436.33,9466.94,-1,-1,0,0
2023-08-28,9517.8,9706.15,9517.8,9670.81,-1,-1,0,0
2023-08-29,9704.72,9799.0,9652.74,9730.58,-1,-1,0,0
2023-08-30,9759.33,9820.94,9679.28,9703.26,-1,-1,0,0
2023-08-31,9708.93,9774.06,9564.66,9648.36,-1,-1,0,0
