Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-21,33.1,33.1,32.7,32.7,-1,-1,0,0
2023-04-24,32.7,33.4,32.7,33.4,-1,-1,0,0
2023-04-25,32.8,33.6,32.6,33.0,-1,-1,0,0
2023-04-26,33.4,33.4,32.8,33.3,-1,-1,0,0
2023-04-27,32.6,33.4,32.3,33.3,-1,-1,0,0
2023-04-28,33.3,33.4,33.3,33.4,-1,-1,0,0
2023-05-02,33.1,33.2,33.1,33.2,-1,-1,0,0
2023-05-04,33.2,33.2,33.0,33.0,-1,-1,0,0
2023-05-05,33.0,33.2,33.0,33.0,-1,-1,0,0
2023-05-08,32.9,33.4,32.8,33.4,-1,-1,0,0
2023-05-10,33.4,33.4,33.2,33.2,-1,-1,0,0
2023-05-11,32.8,33.0,32.8,33.0,-1,-1,0,0
2023-05-12,33.0,33.0,32.9,32.9,-1,-1,0,0
2023-05-15,32.9,33.0,32.9,32.9,-1,-1,0,0
2023-05-16,32.5,32.5,32.4,32.4,-1,-1,0,0
2023-05-17,32.5,32.6,32.5,32.6,-1,-1,0,0
2023-05-18,32.5,32.5,32.5,32.5,-1,-1,0,0
2023-05-19,32.7,32.9,32.5,32.5,-1,-1,0,0
2023-05-22,32.5,32.5,32.5,32.5,-1,-1,0,0
2023-05-23,32.5,32.5,32.4,32.4,-1,-1,0,0
2023-05-24,32.8,32.8,32.4,32.8,-1,-1,0,0
2023-05-25,32.7,32.8,32.7,32.8,-1,-1,0,0
2023-05-26,32.8,33.3,32.7,33.3,-1,-1,0,0
2023-05-29,33.4,33.4,33.0,33.0,-1,-1,0,0
2023-05-30,33.2,33.3,33.2,33.3,-1,-1,0,0
2023-05-31,33.4,33.5,33.4,33.5,-1,-1,0,0
2023-06-01,33.5,33.6,33.4,33.6,-1,-1,0,0
2023-06-02,33.6,33.6,33.1,33.4,-1,-1,0,0
2023-06-05,33.4,33.8,33.3,33.5,-1,-1,0,0
2023-06-06,33.5,33.6,33.5,33.6,-1,-1,0,0
2023-06-07,33.6,33.8,33.6,33.7,-1,-1,0,0
2023-06-09,33.8,34.7,33.8,34.2,-1,-1,0,0
2023-06-12,34.7,35.0,34.7,35.0,-1,-1,0,0
2023-06-13,34.8,34.8,34.3,34.3,-1,-1,0,0
2023-06-14,35.0,35.7,35.0,35.7,-1,-1,0,0
2023-06-15,35.7,35.7,35.0,35.5,-1,-1,0,0
2023-06-19,35.5,35.5,35.5,35.5,-1,-1,0,0
2023-06-20,35.1,35.4,34.3,35.4,-1,-1,0,0
2023-06-21,35.4,35.4,35.4,35.4,-1,-1,0,0
2023-06-22,35.4,35.4,34.5,35.0,-1,-1,0,0
2023-06-23,35.0,35.0,34.7,35.0,-1,-1,0,0
2023-06-26,34.6,35.0,34.6,35.0,-1,-1,0,0
2023-06-27,35.0,35.9,35.0,35.9,-1,-1,0,0
2023-06-28,35.9,36.8,35.6,36.8,-1,-1,0,0
2023-06-29,36.7,39.0,36.7,39.0,-1,-1,0,0
2023-06-30,39.0,39.8,37.4,39.0,-1,-1,0,0
2023-07-03,39.4,39.5,38.0,39.4,-1,-1,0,0
2023-07-04,39.4,39.8,39.0,39.4,-1,-1,0,0
2023-07-05,39.4,39.4,39.4,39.4,-1,-1,0,0
2023-07-06,39.4,39.4,37.3,39.2,-1,-1,0,0
2023-07-07,39.3,39.4,37.3,37.9,-1,-1,0,0
2023-07-10,37.7,38.7,37.7,38.7,-1,-1,0,0
2023-07-11,38.0,38.0,38.0,38.0,-1,-1,0,0
2023-07-12,38.0,38.0,38.0,38.0,-1,-1,0,0
2023-07-13,38.0,38.6,37.7,38.6,-1,-1,0,0
2023-07-14,38.6,38.6,37.4,38.5,-1,-1,0,0
2023-07-17,37.4,38.4,37.4,38.4,-1,-1,0,0
2023-07-18,38.0,38.4,36.1,37.9,-1,-1,0,0
2023-07-19,37.0,40.0,36.1,40.0,-1,-1,0,0
2023-07-20,39.0,39.3,37.5,38.7,-1,-1,0,0
2023-07-21,38.0,39.3,37.1,38.6,-1,-1,0,0
2023-07-24,38.5,38.5,38.5,38.5,-1,-1,0,0
2023-07-25,38.4,38.5,38.4,38.4,-1,-1,0,0
2023-07-26,38.0,38.7,37.5,37.6,-1,-1,0,0
2023-07-27,37.6,38.5,37.6,38.5,-1,-1,0,0
2023-07-28,38.7,38.7,38.7,38.7,-1,-1,0,0
2023-07-31,38.8,39.0,38.8,39.0,-1,-1,0,0
2023-08-01,39.5,39.5,38.5,38.9,-1,-1,0,0
2023-08-02,38.5,38.9,38.5,38.9,-1,-1,0,0
2023-08-03,38.5,38.9,38.5,38.9,-1,-1,0,0
2023-08-04,38.9,39.4,38.9,39.4,-1,-1,0,0
2023-08-07,38.5,39.3,38.5,39.3,-1,-1,0,0
2023-08-08,38.9,39.3,38.6,39.2,-1,-1,0,0
2023-08-09,39.2,39.2,38.0,38.0,-1,-1,0,0
2023-08-10,37.9,39.3,37.9,39.2,-1,-1,0,0
2023-08-11,38.1,38.1,37.6,37.6,-1,-1,0,0
2023-08-14,37.0,37.0,36.0,36.7,-1,-1,0,0
2023-08-16,36.2,36.8,36.2,36.8,-1,-1,0,0
