Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-20,505.0,515.0,503.0,504.0,78,102,1,1
2023-02-21,507.0,507.0,498.5,501.0,78,102,1,1
2023-02-22,502.0,503.0,490.5,498.0,78,102,1,1
2023-02-23,503.0,503.0,491.0,494.5,78,102,1,1
2023-02-24,495.0,498.5,486.0,487.5,78,102,1,1
2023-02-27,488.0,498.0,488.0,493.0,78,102,1,1
2023-02-28,493.0,503.0,492.0,497.5,78,102,1,1
2023-03-01,500.0,505.0,494.0,497.5,78,102,1,1
2023-03-02,496.5,497.5,488.5,490.0,78,102,1,1
2023-03-03,493.0,505.0,493.0,505.0,78,102,1,1
2023-03-06,504.0,517.0,502.0,514.0,78,102,1,1
2023-03-07,517.0,520.0,510.0,512.0,78,102,1,1
2023-03-08,513.0,517.0,510.0,511.0,78,102,1,1
2023-03-09,514.0,514.0,504.0,504.0,78,102,1,1
2023-03-10,502.0,503.0,493.5,494.0,78,102,1,1
2023-03-13,498.5,503.0,478.5,485.0,78,102,1,1
2023-03-14,488.5,509.0,488.5,503.0,78,102,1,1
2023-03-15,508.0,535.0,499.5,531.0,78,102,1,1
2023-03-16,534.0,542.0,521.0,538.0,78,102,1,1
2023-03-17,542.0,553.0,535.0,535.0,78,102,1,1
2023-03-20,535.0,542.0,496.0,513.0,78,102,1,1
2023-03-21,513.0,513.0,500.0,501.0,78,102,1,1
2023-03-22,501.0,511.0,499.0,507.0,78,102,1,1
2023-03-23,511.0,545.0,511.0,540.0,78,102,1,1
2023-03-24,545.0,564.0,535.0,541.0,78,102,1,1
2023-03-27,550.0,557.0,532.0,534.0,78,102,1,1
2023-03-28,534.0,542.0,530.0,531.0,78,102,1,1
2023-03-29,536.0,542.0,531.0,535.0,78,102,1,1
2023-03-30,532.0,537.0,528.0,530.0,78,102,1,1
2023-03-31,533.0,539.0,528.0,530.0,78,102,1,1
2023-04-03,535.0,536.0,526.0,528.0,78,102,1,1
2023-04-04,528.0,530.0,519.0,520.0,78,102,1,1
2023-04-05,520.0,523.0,516.0,516.0,78,102,1,1
2023-04-06,518.0,523.0,515.0,519.0,78,102,1,1
2023-04-11,524.0,531.0,518.0,522.0,78,102,1,1
2023-04-12,521.0,529.0,514.0,528.0,78,102,1,1
2023-04-13,530.0,534.0,525.0,528.0,78,102,1,1
2023-04-14,530.0,539.0,530.0,537.0,78,102,1,1
2023-04-17,538.0,552.0,538.0,552.0,78,102,1,1
2023-04-18,559.0,586.0,559.0,575.0,78,102,1,1
2023-04-19,576.0,577.0,562.0,564.0,78,102,1,1
2023-04-20,569.5,582.0,566.0,574.0,78,102,1,1
2023-04-21,570.0,582.0,566.5,576.0,78,102,1,1
2023-04-24,578.5,582.0,567.0,581.0,78,102,1,1
2023-04-25,581.0,581.5,570.5,580.0,78,102,1,1
2023-04-26,579.5,580.0,564.5,564.5,78,102,1,1
2023-04-27,565.0,576.0,564.5,570.5,78,102,1,1
2023-04-28,571.0,571.0,564.0,567.0,78,102,1,1
2023-05-02,571.0,579.0,563.0,566.5,78,102,1,1
2023-05-04,569.0,580.0,566.5,567.5,78,102,1,1
2023-05-05,568.0,572.0,563.5,564.5,78,102,1,1
2023-05-08,569.0,570.0,563.0,566.0,78,102,1,1
2023-05-09,565.0,573.0,561.5,573.0,78,102,1,1
2023-05-10,574.0,578.5,568.0,575.0,78,102,1,1
2023-05-11,579.0,580.0,563.0,564.0,78,102,1,1
2023-05-12,566.5,573.5,565.0,568.0,78,102,1,1
2023-05-15,573.0,576.0,568.0,569.5,78,102,1,1
2023-05-16,572.0,577.0,569.5,576.0,78,102,1,1
2023-05-17,576.0,578.0,572.0,573.5,78,102,1,1
2023-05-18,578.0,584.5,574.0,577.5,78,102,1,1
2023-05-19,576.5,583.5,576.0,581.0,78,102,1,1
2023-05-22,581.0,583.0,580.0,580.0,78,102,1,1
2023-05-23,581.0,582.0,575.0,577.0,78,102,1,1
2023-05-24,578.5,578.5,570.0,573.0,78,102,1,1
2023-05-25,578.0,578.0,570.0,570.5,78,102,1,1
2023-05-26,574.5,580.5,570.0,578.0,78,102,1,1
2023-05-29,579.5,581.0,576.0,577.0,78,102,1,1
2023-05-30,576.5,578.0,571.0,572.5,78,102,1,1
2023-05-31,571.0,575.5,564.5,568.5,78,102,1,1
2023-06-01,569.0,570.0,564.5,568.0,78,102,1,1
2023-06-02,570.0,572.0,564.5,570.0,78,102,1,1
2023-06-05,573.0,589.5,571.5,585.5,78,102,1,1
2023-06-06,584.0,590.0,577.0,587.0,78,102,1,1
2023-06-07,585.0,587.5,572.5,572.5,78,102,1,1
2023-06-09,575.0,578.5,572.0,575.5,78,102,1,1
2023-06-12,578.5,582.0,570.5,573.5,78,102,1,1
2023-06-13,576.0,580.0,572.5,572.5,78,102,1,1
2023-06-14,576.0,589.5,572.5,583.5,78,102,1,1
2023-06-15,588.0,609.5,584.0,604.0,78,102,1,1
2023-06-16,606.5,625.5,602.5,611.0,78,102,1,1
2023-06-19,611.0,615.5,605.0,611.0,78,102,1,1
2023-06-20,611.0,620.5,600.5,606.0,78,102,1,1
2023-06-21,602.0,612.0,602.0,607.5,78,102,1,1
2023-06-22,611.0,612.0,605.0,607.5,78,102,1,1
2023-06-23,607.0,612.0,600.5,605.5,78,102,1,1
2023-06-26,603.0,621.5,602.5,620.5,78,102,1,1
2023-06-27,622.0,634.0,609.0,613.5,78,102,1,1
2023-06-28,613.5,617.0,604.5,609.0,78,102,1,1
2023-06-29,608.0,612.5,602.5,606.0,78,102,1,1
2023-06-30,610.0,620.5,604.0,616.0,78,102,1,1
2023-07-03,617.0,633.0,614.5,631.0,78,102,1,1
2023-07-04,625.0,653.0,625.0,650.0,78,102,1,1
2023-07-05,650.0,655.0,639.0,652.5,78,102,1,1
2023-07-06,650.0,654.0,643.5,644.0,78,102,1,1
2023-07-07,643.5,657.0,643.5,657.0,78,102,1,1
2023-07-10,657.5,665.0,652.5,662.0,78,102,1,1
2023-07-11,662.0,677.0,661.0,670.0,78,102,1,1
2023-07-12,670.5,680.0,664.5,675.0,78,102,1,1
2023-07-13,673.0,684.0,668.0,678.0,78,102,1,1
2023-07-14,678.0,694.0,675.5,690.5,78,102,1,1
2023-07-17,690.5,694.0,682.0,689.5,78,102,1,1
2023-07-18,689.5,693.5,683.0,685.0,78,102,1,1
2023-07-19,686.0,713.5,685.0,708.5,78,102,1,1
2023-07-20,704.5,712.0,693.5,695.0,78,102,1,1
2023-07-21,691.0,698.0,687.0,697.5,78,102,1,1
2023-07-24,700.5,708.0,688.0,693.0,78,102,1,1
2023-07-25,700.0,706.0,692.0,705.0,78,102,1,1
2023-07-26,705.0,705.0,692.0,696.0,78,102,1,1
2023-07-27,695.5,709.0,692.0,708.0,78,102,1,1
2023-07-28,705.0,708.0,688.0,689.5,78,102,1,1
2023-07-31,692.0,695.0,687.0,693.0,78,102,1,1
2023-08-01,689.0,692.5,679.0,688.0,78,102,1,1
2023-08-02,683.0,684.5,673.0,679.0,78,102,1,1
2023-08-03,671.0,681.0,652.0,676.0,78,102,1,1
2023-08-04,680.0,684.5,669.5,681.5,78,102,1,1
2023-08-07,681.0,700.0,678.0,699.0,78,102,1,1
2023-08-08,703.0,703.0,688.5,691.0,78,102,1,1
2023-08-09,691.5,719.0,691.5,708.5,78,102,1,1
2023-08-10,714.5,742.5,710.0,734.0,78,102,1,1
2023-08-11,736.0,753.0,731.0,733.5,78,102,1,1
2023-08-14,731.5,740.5,720.0,728.5,78,102,1,1
2023-08-16,730.0,736.0,727.0,727.5,78,102,1,1
2023-08-17,728.5,732.5,714.5,719.5,78,102,1,1
2023-08-18,720.0,722.0,706.0,714.0,78,102,1,1
2023-08-21,660.0,663.0,641.0,659.0,78,102,1,1
2023-08-22,660.0,681.0,660.0,669.5,78,102,1,1
2023-08-23,672.0,673.5,633.0,640.5,78,102,1,1
2023-08-24,644.5,660.5,636.0,642.0,78,102,1,1
2023-08-25,644.5,655.0,638.0,648.5,78,102,1,1
2023-08-28,656.0,659.5,641.5,652.0,78,102,1,1
2023-08-29,653.0,664.0,651.5,662.0,78,102,1,1
2023-08-30,661.0,661.5,628.0,651.5,78,102,1,1
2023-08-31,655.0,655.5,631.0,642.0,78,102,1,1
