Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-17,323.8,326.0,315.0,322.0,115,153,1,1
2023-02-20,322.8,322.8,314.2,319.2,115,153,1,1
2023-02-21,320.6,320.6,310.4,314.6,115,153,1,1
2023-02-22,318.2,318.2,310.0,312.0,115,153,1,1
2023-02-23,312.0,315.0,310.0,314.0,115,153,1,1
2023-02-24,315.0,319.2,313.2,317.6,115,153,1,1
2023-02-27,320.8,321.4,316.0,316.0,115,153,1,1
2023-02-28,316.0,329.2,315.4,328.0,115,153,1,1
2023-03-01,326.4,327.8,319.0,323.8,115,153,1,1
2023-03-02,324.0,324.0,311.2,311.2,115,153,1,1
2023-03-03,314.0,317.0,311.8,316.2,115,153,1,1
2023-03-06,319.2,328.8,316.4,326.4,115,153,1,1
2023-03-07,328.0,329.0,321.0,321.0,115,153,1,1
2023-03-08,321.2,325.4,317.0,321.8,115,153,1,1
2023-03-09,325.0,325.2,316.4,317.8,115,153,1,1
2023-03-10,315.0,315.8,301.4,304.2,115,153,1,1
2023-03-13,310.0,310.2,287.6,295.8,115,153,1,1
2023-03-14,294.4,299.6,288.8,294.6,115,153,1,1
2023-03-15,294.4,298.8,280.0,286.0,115,153,1,1
2023-03-16,290.8,292.8,274.6,283.0,115,153,1,1
2023-03-17,286.0,290.0,270.0,272.8,115,153,1,1
2023-03-20,275.0,275.2,256.4,273.8,115,153,1,1
2023-03-21,276.0,288.0,275.6,288.0,115,153,1,1
2023-03-22,288.4,290.2,280.0,281.2,115,153,1,1
2023-03-23,281.0,284.6,276.0,283.0,115,153,1,1
2023-03-24,280.0,282.4,270.6,274.2,115,153,1,1
2023-03-27,274.2,279.8,271.0,277.0,115,153,1,1
2023-03-28,277.0,294.4,277.0,286.8,115,153,1,1
2023-03-29,292.6,299.2,288.0,298.8,115,153,1,1
2023-03-30,300.8,306.6,300.0,305.8,115,153,1,1
2023-03-31,306.0,308.6,301.4,306.4,115,153,1,1
2023-04-03,309.8,320.6,307.0,319.0,115,153,1,1
2023-04-04,318.8,327.2,318.6,324.4,115,153,1,1
2023-04-05,316.2,324.2,313.2,320.8,115,153,1,1
2023-04-06,321.2,325.4,320.0,323.4,115,153,1,1
2023-04-11,324.0,331.2,324.0,329.8,115,153,1,1
2023-04-12,329.8,343.8,326.6,342.2,115,153,1,1
2023-04-13,338.4,355.6,338.4,350.8,115,153,1,1
2023-04-14,349.4,360.6,346.2,356.6,115,153,1,1
2023-04-17,348.8,363.0,348.8,356.0,115,153,1,1
2023-04-18,354.8,365.6,354.8,360.0,115,153,1,1
2023-04-19,360.4,365.6,353.8,365.2,115,153,1,1
2023-04-20,364.6,375.1,363.1,366.2,115,153,1,1
2023-04-21,364.0,367.8,356.8,366.4,115,153,1,1
2023-04-24,364.1,364.5,346.2,352.2,115,153,1,1
2023-04-25,352.0,355.6,338.8,349.4,115,153,1,1
2023-04-26,349.0,349.0,336.3,338.0,115,153,1,1
2023-04-27,339.5,359.0,339.5,354.6,115,153,1,1
2023-04-28,354.0,354.0,342.0,347.5,115,153,1,1
2023-05-02,347.4,358.9,340.0,341.7,115,153,1,1
2023-05-04,341.8,349.5,331.8,334.3,115,153,1,1
2023-05-05,338.6,345.6,332.3,344.7,115,153,1,1
2023-05-08,347.8,359.0,345.2,354.7,115,153,1,1
2023-05-09,354.7,355.0,343.1,346.8,115,153,1,1
2023-05-10,350.0,360.7,344.4,355.2,115,153,1,1
2023-05-11,355.0,357.6,346.7,349.5,115,153,1,1
2023-05-12,345.0,355.6,345.0,350.1,115,153,1,1
2023-05-15,352.4,353.4,333.9,339.9,115,153,1,1
2023-05-16,340.9,349.6,340.0,345.8,115,153,1,1
2023-05-17,349.0,349.0,339.1,341.1,115,153,1,1
2023-05-18,347.3,348.0,340.5,344.0,115,153,1,1
2023-05-19,347.4,368.0,345.2,364.9,115,153,1,1
2023-05-22,363.5,370.0,362.5,366.5,115,153,1,1
2023-05-23,366.0,375.2,362.8,370.0,115,153,1,1
2023-05-24,366.3,369.4,355.3,360.0,115,153,1,1
2023-05-25,362.0,371.3,356.3,368.0,115,153,1,1
2023-05-26,368.0,379.5,366.9,378.0,115,153,1,1
2023-05-29,379.8,385.0,378.4,379.0,115,153,1,1
2023-05-30,378.4,378.5,365.7,366.6,115,153,1,1
2023-05-31,361.6,365.0,350.3,352.8,115,153,1,1
2023-06-01,351.0,361.3,349.5,356.8,115,153,1,1
2023-06-02,358.0,384.7,358.0,384.5,115,153,1,1
2023-06-05,384.0,393.5,383.1,388.0,115,153,1,1
2023-06-06,389.4,398.9,383.2,396.0,115,153,1,1
2023-06-07,393.5,396.0,378.1,379.6,115,153,1,1
2023-06-09,385.0,399.5,383.1,397.7,115,153,1,1
2023-06-12,395.0,396.8,378.6,378.9,115,153,1,1
2023-06-13,378.9,384.0,371.9,375.8,115,153,1,1
2023-06-14,377.0,396.7,376.0,394.2,115,153,1,1
2023-06-15,390.0,397.1,376.2,396.4,115,153,1,1
2023-06-16,392.8,408.0,390.0,404.4,115,153,1,1
2023-06-19,404.4,410.7,395.7,396.8,115,153,1,1
2023-06-20,395.4,405.6,391.2,394.4,115,153,1,1
2023-06-21,394.0,402.6,391.5,396.0,115,153,1,1
2023-06-22,396.6,402.3,390.5,395.2,115,153,1,1
2023-06-23,393.0,397.7,385.0,385.8,115,153,1,1
2023-06-26,386.2,411.1,381.5,408.1,115,153,1,1
2023-06-27,410.0,418.4,406.7,407.5,115,153,1,1
2023-06-28,417.0,418.4,403.0,404.0,115,153,1,1
2023-06-29,402.1,410.0,401.6,406.0,115,153,1,1
2023-06-30,406.0,409.8,398.1,406.1,115,153,1,1
2023-07-03,405.0,420.0,404.6,416.8,115,153,1,1
2023-07-04,414.8,417.8,405.7,412.0,115,153,1,1
2023-07-05,410.7,413.3,395.1,396.6,115,153,1,1
2023-07-06,395.0,412.2,393.1,409.1,115,153,1,1
2023-07-07,406.3,419.6,404.6,418.2,115,153,1,1
2023-07-10,418.0,418.0,407.0,407.3,115,153,1,1
2023-07-11,408.5,420.0,408.0,416.8,115,153,1,1
2023-07-12,416.7,433.0,416.7,432.9,115,153,1,1
2023-07-13,435.0,442.8,433.0,436.0,115,153,1,1
2023-07-14,435.6,453.4,435.6,450.0,115,153,1,1
2023-07-17,450.0,458.5,447.2,454.4,115,153,1,1
2023-07-18,456.8,469.4,454.5,466.0,115,153,1,1
2023-07-19,470.0,471.9,460.9,465.8,115,153,1,1
2023-07-20,465.0,469.7,458.6,463.1,115,153,1,1
2023-07-21,463.1,465.7,450.4,454.7,115,153,1,1
2023-07-24,454.6,468.8,454.5,461.0,115,153,1,1
2023-07-25,459.6,466.7,458.0,464.3,115,153,1,1
2023-07-26,462.1,470.1,461.3,469.9,115,153,1,1
2023-07-27,470.6,479.3,470.2,477.0,115,153,1,1
2023-07-28,475.0,480.7,475.0,477.0,115,153,1,1
2023-07-31,477.0,481.0,473.1,478.2,115,153,1,1
2023-08-01,481.1,481.1,466.1,470.6,115,153,1,1
2023-08-02,469.0,469.0,450.8,461.3,115,153,1,1
2023-08-03,461.3,463.5,452.2,458.8,115,153,1,1
2023-08-04,462.6,468.8,461.1,467.0,115,153,1,1
2023-08-07,467.0,467.0,454.6,461.1,115,153,1,1
2023-08-08,456.0,460.0,441.4,448.1,115,153,1,1
2023-08-09,453.0,457.6,444.7,448.4,115,153,1,1
2023-08-10,449.0,455.0,444.7,452.3,115,153,1,1
2023-08-11,449.0,451.6,439.9,448.7,115,153,1,1
2023-08-14,448.7,454.8,442.5,448.1,115,153,1,1
2023-08-16,439.8,442.0,424.1,427.8,115,153,1,1
2023-08-17,427.8,429.0,411.1,416.0,115,153,1,1
2023-08-18,418.1,422.1,413.9,419.5,115,153,1,1
2023-08-21,422.5,425.7,415.6,420.2,115,153,1,1
2023-08-22,420.2,426.0,411.7,415.8,115,153,1,1
2023-08-23,417.0,417.0,402.2,409.0,115,153,1,1
2023-08-24,414.0,423.3,412.1,412.1,115,153,1,1
2023-08-25,406.0,418.0,405.0,413.8,115,153,1,1
2023-08-28,420.0,427.6,411.0,426.9,115,153,1,1
2023-08-29,428.5,436.4,426.7,432.0,115,153,1,1
2023-08-30,435.0,444.6,433.5,438.4,115,153,1,1
2023-08-31,440.0,441.7,424.1,429.0,115,153,1,1
